0 NONE 0;-32767 0;0
1 NONE 0;-32767 0;0
2 NONE 0;-32767 0;0
3 NONE 0;-32767 0;0
4 NONE 0;-32767 0;0
5 NONE 0;-32767 0;0
10 KEY_A 0;0 0;0
610 KEY_A;KEY_B 0;0 0;0
612 KEY_A;KEY_B 0;0 0;0
614 KEY_A;KEY_B 0;0 0;0
616 KEY_A;KEY_B 0;0 0;0
618 KEY_A;KEY_B 0;0 0;0
620 KEY_A;KEY_B 0;0 0;0
622 KEY_A;KEY_B 0;0 0;0
624 KEY_A;KEY_B 0;0 0;0
626 KEY_A;KEY_B 0;0 0;0
628 KEY_A;KEY_B 0;0 0;0
630 KEY_A;KEY_B 0;0 0;0
632 KEY_A;KEY_B 0;0 0;0
634 KEY_A;KEY_B 0;0 0;0
636 KEY_A;KEY_B 0;0 0;0
638 KEY_A;KEY_B 0;0 0;0
640 KEY_A;KEY_B 0;0 0;0
642 KEY_A;KEY_B 0;0 0;0
644 KEY_A;KEY_B 0;0 0;0
646 KEY_A;KEY_B 0;0 0;0
648 KEY_A;KEY_B 0;0 0;0
650 KEY_A;KEY_B 0;0 0;0
652 KEY_A;KEY_B 0;0 0;0
654 KEY_A;KEY_B 0;0 0;0
656 KEY_A;KEY_B 0;0 0;0
658 KEY_A;KEY_B 0;0 0;0
660 KEY_A;KEY_B 0;0 0;0
662 KEY_A;KEY_B 0;0 0;0
664 KEY_A;KEY_B 0;0 0;0
666 KEY_A;KEY_B 0;0 0;0
668 KEY_A;KEY_B 0;0 0;0
670 KEY_A;KEY_B 0;0 0;0
672 KEY_A;KEY_B 0;0 0;0
674 KEY_A;KEY_B 0;0 0;0
676 KEY_A;KEY_B 0;0 0;0
678 KEY_A;KEY_B 0;0 0;0
680 KEY_A;KEY_B 0;0 0;0
682 KEY_A;KEY_B 0;0 0;0
684 KEY_A;KEY_B 0;0 0;0
686 KEY_A;KEY_B 0;0 0;0
688 KEY_A;KEY_B 0;0 0;0
690 KEY_A;KEY_B 0;0 0;0
692 KEY_A;KEY_B 0;0 0;0
694 KEY_A;KEY_B 0;0 0;0
696 KEY_A;KEY_B 0;0 0;0
698 KEY_A;KEY_B 0;0 0;0
700 KEY_A;KEY_B 0;0 0;0
702 KEY_A;KEY_B 0;0 0;0
704 KEY_A;KEY_B 0;0 0;0
706 KEY_A;KEY_B 0;0 0;0
708 KEY_A;KEY_B 0;0 0;0
710 KEY_A;KEY_B 0;0 0;0
712 KEY_A;KEY_B 0;0 0;0
714 KEY_A;KEY_B 0;0 0;0
716 KEY_A;KEY_B 0;0 0;0
718 KEY_A;KEY_B 0;0 0;0
720 KEY_A;KEY_B 0;0 0;0
722 KEY_A;KEY_B 0;0 0;0
724 KEY_A;KEY_B 0;0 0;0
726 KEY_A;KEY_B 0;0 0;0
728 KEY_A;KEY_B 0;0 0;0
730 KEY_A;KEY_B 0;0 0;0
732 KEY_A;KEY_B 0;0 0;0
734 KEY_A;KEY_B 0;0 0;0
736 KEY_A;KEY_B 0;0 0;0
738 KEY_A;KEY_B 0;0 0;0
740 KEY_A;KEY_B 0;0 0;0
742 KEY_A;KEY_B 0;0 0;0
744 KEY_A;KEY_B 0;0 0;0
746 KEY_A;KEY_B 0;0 0;0
748 KEY_A;KEY_B 0;0 0;0
750 KEY_A;KEY_B 0;0 0;0
752 KEY_A;KEY_B 0;0 0;0
754 KEY_A;KEY_B 0;0 0;0
756 KEY_A;KEY_B 0;0 0;0
758 KEY_A;KEY_B 0;0 0;0
760 KEY_A;KEY_B 0;0 0;0
762 KEY_A;KEY_B 0;0 0;0
764 KEY_A;KEY_B 0;0 0;0
766 KEY_A;KEY_B 0;0 0;0
768 KEY_A;KEY_B 0;0 0;0
770 KEY_A;KEY_B 0;0 0;0
772 KEY_A;KEY_B 0;0 0;0
774 KEY_A;KEY_B 0;0 0;0
776 KEY_A;KEY_B 0;0 0;0
778 KEY_A;KEY_B 0;0 0;0
780 KEY_A;KEY_B 0;0 0;0
782 KEY_A;KEY_B 0;0 0;0
784 KEY_A;KEY_B 0;0 0;0
786 KEY_A;KEY_B 0;0 0;0
788 KEY_A;KEY_B 0;0 0;0
790 KEY_A;KEY_B 0;0 0;0
792 KEY_A;KEY_B 0;0 0;0
794 KEY_A;KEY_B 0;0 0;0
796 KEY_A;KEY_B 0;0 0;0
798 KEY_A;KEY_B 0;0 0;0
800 KEY_A;KEY_B 0;0 0;0
802 KEY_A;KEY_B 0;0 0;0
804 KEY_A;KEY_B 0;0 0;0
806 KEY_A;KEY_B 0;0 0;0
808 KEY_A;KEY_B 0;0 0;0
810 KEY_A;KEY_B 0;0 0;0
812 KEY_A;KEY_B 0;0 0;0
814 KEY_A;KEY_B 0;0 0;0
816 KEY_A;KEY_B 0;0 0;0
818 KEY_A;KEY_B 0;0 0;0
820 KEY_A;KEY_B 0;0 0;0
822 KEY_A;KEY_B 0;0 0;0
824 KEY_A;KEY_B 0;0 0;0
826 KEY_A;KEY_B 0;0 0;0
828 KEY_A;KEY_B 0;0 0;0
830 KEY_A;KEY_B 0;0 0;0
832 KEY_A;KEY_B 0;0 0;0
834 KEY_A;KEY_B 0;0 0;0
836 KEY_A;KEY_B 0;0 0;0
838 KEY_A;KEY_B 0;0 0;0
840 KEY_A;KEY_B 0;0 0;0
842 KEY_A;KEY_B 0;0 0;0
844 KEY_A;KEY_B 0;0 0;0
846 KEY_A;KEY_B 0;0 0;0
848 KEY_A;KEY_B 0;0 0;0
850 KEY_A;KEY_B 0;0 0;0
852 KEY_A;KEY_B 0;0 0;0
854 KEY_A;KEY_B 0;0 0;0
856 KEY_A;KEY_B 0;0 0;0
858 KEY_A;KEY_B 0;0 0;0
860 KEY_A;KEY_B 0;0 0;0
862 KEY_A;KEY_B 0;0 0;0
864 KEY_A;KEY_B 0;0 0;0
866 KEY_A;KEY_B 0;0 0;0
868 KEY_A;KEY_B 0;0 0;0
870 KEY_A;KEY_B 0;0 0;0
872 KEY_A;KEY_B 0;0 0;0
874 KEY_A;KEY_B 0;0 0;0
876 KEY_A;KEY_B 0;0 0;0
878 KEY_A;KEY_B 0;0 0;0
880 KEY_A;KEY_B 0;0 0;0
882 KEY_A;KEY_B 0;0 0;0
884 KEY_A;KEY_B 0;0 0;0
886 KEY_A;KEY_B 0;0 0;0
888 KEY_A;KEY_B 0;0 0;0
890 KEY_A;KEY_B 0;0 0;0
892 KEY_A;KEY_B 0;0 0;0
894 KEY_A;KEY_B 0;0 0;0
